Instance;Algorithme;Taille_Clique;Taille_Min;Taille_Max;Taille_Moyenne;Temps_ms;Notes
brock/brock200_1.clq;Q1_FI_Seed_0;17;;;;0.037137;
brock/brock200_1.clq;Q1_HC_Seed_0;18;;;;0.749525;OK
brock/brock200_1.clq;Q1_FI_Seed_1;16;;;;0.02853;
brock/brock200_1.clq;Q1_HC_Seed_1;17;;;;0.873118;OK
brock/brock200_1.clq;Q1_FI_Seed_2;16;;;;0.02677;
brock/brock200_1.clq;Q1_HC_Seed_2;18;;;;0.868502;OK
brock/brock200_1.clq;Q1_FI_Seed_3;16;;;;0.027202;
brock/brock200_1.clq;Q1_HC_Seed_3;17;;;;0.840138;OK
brock/brock200_1.clq;Q1_FI_Seed_4;13;;;;0.025668;
brock/brock200_1.clq;Q1_HC_Seed_4;21;;;;1.19919;OK
brock/brock200_1.clq;Q1_FI_Seed_5;16;;;;0.027778;
brock/brock200_1.clq;Q1_HC_Seed_5;18;;;;1.00028;OK
brock/brock200_1.clq;Q1_FI_Seed_6;16;;;;0.027746;
brock/brock200_1.clq;Q1_HC_Seed_6;17;;;;0.698813;OK
brock/brock200_1.clq;Q1_FI_Seed_7;13;;;;0.025349;
brock/brock200_1.clq;Q1_HC_Seed_7;16;;;;0.614846;OK
brock/brock200_1.clq;Q1_FI_Seed_8;14;;;;0.026044;
brock/brock200_1.clq;Q1_HC_Seed_8;14;;;;0.40778;OK
brock/brock200_1.clq;Q1_FI_Seed_9;13;;;;0.027078;
brock/brock200_1.clq;Q1_HC_Seed_9;16;;;;0.902637;OK
brock/brock200_1.clq;Q1_FI_STATS_SUMMARY;;13;17;15;0.279302;
brock/brock200_1.clq;Q1_HC_STATS_SUMMARY;;14;21;17.2;8.15483;
brock/brock200_1.clq;Q1_Best_Static;15;;;;0.058535;
brock/brock200_1.clq;Q1_Best_Dynamic;19;;;;3.12864;OK
brock/brock200_2.clq;Q1_FI_Seed_0;8;;;;0.021083;
brock/brock200_2.clq;Q1_HC_Seed_0;8;;;;0.160903;OK
brock/brock200_2.clq;Q1_FI_Seed_1;7;;;;0.019269;
brock/brock200_2.clq;Q1_HC_Seed_1;10;;;;0.315467;OK
brock/brock200_2.clq;Q1_FI_Seed_2;7;;;;0.020203;
brock/brock200_2.clq;Q1_HC_Seed_2;7;;;;0.143791;OK
brock/brock200_2.clq;Q1_FI_Seed_3;7;;;;0.019478;
brock/brock200_2.clq;Q1_HC_Seed_3;9;;;;0.355502;OK
brock/brock200_2.clq;Q1_FI_Seed_4;8;;;;0.020463;
brock/brock200_2.clq;Q1_HC_Seed_4;9;;;;0.28136;OK
brock/brock200_2.clq;Q1_FI_Seed_5;7;;;;0.018866;
brock/brock200_2.clq;Q1_HC_Seed_5;8;;;;0.233137;OK
brock/brock200_2.clq;Q1_FI_Seed_6;8;;;;0.019422;
brock/brock200_2.clq;Q1_HC_Seed_6;9;;;;0.229692;OK
brock/brock200_2.clq;Q1_FI_Seed_7;7;;;;0.01914;
brock/brock200_2.clq;Q1_HC_Seed_7;8;;;;0.22293;OK
brock/brock200_2.clq;Q1_FI_Seed_8;6;;;;0.019357;
brock/brock200_2.clq;Q1_HC_Seed_8;9;;;;0.36207;OK
brock/brock200_2.clq;Q1_FI_Seed_9;7;;;;0.019963;
brock/brock200_2.clq;Q1_HC_Seed_9;8;;;;0.237874;OK
brock/brock200_2.clq;Q1_FI_STATS_SUMMARY;;6;8;7.2;0.197244;
brock/brock200_2.clq;Q1_HC_STATS_SUMMARY;;7;10;8.5;2.54273;
brock/brock200_2.clq;Q1_Best_Static;8;;;;0.040532;
brock/brock200_2.clq;Q1_Best_Dynamic;9;;;;1.64466;OK
brock/brock200_3.clq;Q1_FI_Seed_0;8;;;;0.022544;
brock/brock200_3.clq;Q1_HC_Seed_0;9;;;;0.270896;OK
brock/brock200_3.clq;Q1_FI_Seed_1;9;;;;0.021796;
brock/brock200_3.clq;Q1_HC_Seed_1;12;;;;0.622814;OK
brock/brock200_3.clq;Q1_FI_Seed_2;13;;;;0.02229;
brock/brock200_3.clq;Q1_HC_Seed_2;13;;;;0.320587;OK
brock/brock200_3.clq;Q1_FI_Seed_3;9;;;;0.022147;
brock/brock200_3.clq;Q1_HC_Seed_3;10;;;;0.278091;OK
brock/brock200_3.clq;Q1_FI_Seed_4;11;;;;0.022481;
brock/brock200_3.clq;Q1_HC_Seed_4;11;;;;0.268662;OK
brock/brock200_3.clq;Q1_FI_Seed_5;9;;;;0.021749;
brock/brock200_3.clq;Q1_HC_Seed_5;9;;;;0.214016;OK
brock/brock200_3.clq;Q1_FI_Seed_6;9;;;;0.022015;
brock/brock200_3.clq;Q1_HC_Seed_6;10;;;;0.360944;OK
brock/brock200_3.clq;Q1_FI_Seed_7;9;;;;0.022586;
brock/brock200_3.clq;Q1_HC_Seed_7;10;;;;0.326678;OK
brock/brock200_3.clq;Q1_FI_Seed_8;9;;;;0.023027;
brock/brock200_3.clq;Q1_HC_Seed_8;11;;;;0.546148;OK
brock/brock200_3.clq;Q1_FI_Seed_9;9;;;;0.028918;
brock/brock200_3.clq;Q1_HC_Seed_9;11;;;;0.441738;OK
brock/brock200_3.clq;Q1_FI_STATS_SUMMARY;;8;13;9.5;0.229553;
brock/brock200_3.clq;Q1_HC_STATS_SUMMARY;;9;13;10.6;3.65057;
brock/brock200_3.clq;Q1_Best_Static;12;;;;0.066408;
brock/brock200_3.clq;Q1_Best_Dynamic;13;;;;2.46784;OK
brock/brock200_4.clq;Q1_FI_Seed_0;11;;;;0.063899;
brock/brock200_4.clq;Q1_HC_Seed_0;11;;;;0.720055;OK
brock/brock200_4.clq;Q1_FI_Seed_1;11;;;;0.058896;
brock/brock200_4.clq;Q1_HC_Seed_1;12;;;;1.15887;OK
brock/brock200_4.clq;Q1_FI_Seed_2;11;;;;0.050516;
