Instance;Alpha_Depart;Mode;Runs;Taille_Clique;Temps_ms
brock/brock200_1.clq;0.01;Fixe;1;20;113.878
brock/brock200_1.clq;0.01;Adaptatif;1;20;294.668
brock/brock200_1.clq;0.01;Fixe;10;20;1248.51
brock/brock200_1.clq;0.01;Adaptatif;10;20;3177.42
brock/brock200_1.clq;0.05;Fixe;1;20;117.412
brock/brock200_1.clq;0.05;Adaptatif;1;20;277.842
brock/brock200_1.clq;0.05;Fixe;10;20;1171.87
brock/brock200_1.clq;0.05;Adaptatif;10;20;2670.42
brock/brock200_1.clq;0.1;Fixe;1;20;114.551
brock/brock200_1.clq;0.1;Adaptatif;1;20;260.011
brock/brock200_1.clq;0.1;Fixe;10;20;1190.17
brock/brock200_1.clq;0.1;Adaptatif;10;20;2484.53
brock/brock200_2.clq;0.01;Fixe;1;9;120.675
brock/brock200_2.clq;0.01;Adaptatif;1;8;296.881
brock/brock200_2.clq;0.01;Fixe;10;11;1212.4
brock/brock200_2.clq;0.01;Adaptatif;10;11;3249.34
brock/brock200_2.clq;0.05;Fixe;1;9;135.45
brock/brock200_2.clq;0.05;Adaptatif;1;9;289.445
brock/brock200_2.clq;0.05;Fixe;10;11;1192.55
brock/brock200_2.clq;0.05;Adaptatif;10;11;2733.73
brock/brock200_2.clq;0.1;Fixe;1;9;119.706
brock/brock200_2.clq;0.1;Adaptatif;1;9;246.01
brock/brock200_2.clq;0.1;Fixe;10;11;1181.57
brock/brock200_2.clq;0.1;Adaptatif;10;11;2511.01
brock/brock200_3.clq;0.01;Fixe;1;9;118.772
brock/brock200_3.clq;0.01;Adaptatif;1;9;333.014
brock/brock200_3.clq;0.01;Fixe;10;12;1246.9
brock/brock200_3.clq;0.01;Adaptatif;10;12;3152.33
brock/brock200_3.clq;0.05;Fixe;1;9;119.127
brock/brock200_3.clq;0.05;Adaptatif;1;9;252.239
brock/brock200_3.clq;0.05;Fixe;10;12;1191.47
brock/brock200_3.clq;0.05;Adaptatif;10;12;2824.53
brock/brock200_3.clq;0.1;Fixe;1;9;121.597
