Instance;Algorithme;Poids_Total;Poids_Min;Poids_Max;Poids_Moyenne;Temps_ms;Statut
brock/brock200_1.clq;Q3_FI_Seed_0;1751;;;;0.057616;OK
brock/brock200_1.clq;Q3_HC_Seed_0;2028;;;;3.37297;OK
brock/brock200_1.clq;Q3_FI_Seed_1;1791;;;;0.059458;OK
brock/brock200_1.clq;Q3_HC_Seed_1;2022;;;;2.44867;OK
brock/brock200_1.clq;Q3_FI_Seed_2;1336;;;;0.05326;OK
brock/brock200_1.clq;Q3_HC_Seed_2;2066;;;;4.36572;OK
brock/brock200_1.clq;Q3_FI_Seed_3;1464;;;;0.054472;OK
brock/brock200_1.clq;Q3_HC_Seed_3;2140;;;;4.63363;OK
brock/brock200_1.clq;Q3_FI_Seed_4;1580;;;;0.052943;OK
brock/brock200_1.clq;Q3_HC_Seed_4;1776;;;;2.70786;OK
brock/brock200_1.clq;Q3_FI_Seed_5;2134;;;;0.055895;OK
brock/brock200_1.clq;Q3_HC_Seed_5;2531;;;;2.52713;OK
brock/brock200_1.clq;Q3_FI_Seed_6;955;;;;0.056275;OK
brock/brock200_1.clq;Q3_HC_Seed_6;1852;;;;4.63078;OK
brock/brock200_1.clq;Q3_FI_Seed_7;1210;;;;0.029614;OK
brock/brock200_1.clq;Q3_HC_Seed_7;1833;;;;2.00682;OK
brock/brock200_1.clq;Q3_FI_Seed_8;1635;;;;0.026721;OK
brock/brock200_1.clq;Q3_HC_Seed_8;2229;;;;1.91028;OK
brock/brock200_1.clq;Q3_FI_Seed_9;1197;;;;0.027528;OK
brock/brock200_1.clq;Q3_HC_Seed_9;2112;;;;2.38692;OK
brock/brock200_1.clq;Q3_FI_STATS_SUMMARY;;955;2134;1505.3;0.473782;OK
brock/brock200_1.clq;Q3_HC_STATS_SUMMARY;;1776;2531;2058.9;30.9908;OK
brock/brock200_1.clq;Q3_Static_Poids;1926;;;;0.028138;OK
brock/brock200_1.clq;Q3_Static_Hybride;2243;;;;0.055094;OK
brock/brock200_1.clq;Q3_Dynamic_Hybride;2253;;;;2.59807;OK
brock/brock200_2.clq;Q3_FI_Seed_0;516;;;;0.021024;OK
brock/brock200_2.clq;Q3_HC_Seed_0;997;;;;0.692727;OK
brock/brock200_2.clq;Q3_FI_Seed_1;831;;;;0.019448;OK
brock/brock200_2.clq;Q3_HC_Seed_1;1187;;;;0.677519;OK
brock/brock200_2.clq;Q3_FI_Seed_2;559;;;;0.01987;OK
brock/brock200_2.clq;Q3_HC_Seed_2;1094;;;;0.485005;OK
brock/brock200_2.clq;Q3_FI_Seed_3;615;;;;0.019338;OK
brock/brock200_2.clq;Q3_HC_Seed_3;990;;;;0.610826;OK
brock/brock200_2.clq;Q3_FI_Seed_4;1168;;;;0.019888;OK
brock/brock200_2.clq;Q3_HC_Seed_4;1180;;;;0.282299;OK
brock/brock200_2.clq;Q3_FI_Seed_5;609;;;;0.019101;OK
brock/brock200_2.clq;Q3_HC_Seed_5;1265;;;;0.661253;OK
brock/brock200_2.clq;Q3_FI_Seed_6;785;;;;0.022151;OK
brock/brock200_2.clq;Q3_HC_Seed_6;1069;;;;0.377627;OK
brock/brock200_2.clq;Q3_FI_Seed_7;748;;;;0.020138;OK
brock/brock200_2.clq;Q3_HC_Seed_7;1041;;;;0.405505;OK
brock/brock200_2.clq;Q3_FI_Seed_8;622;;;;0.028471;OK
brock/brock200_2.clq;Q3_HC_Seed_8;786;;;;1.41185;OK
brock/brock200_2.clq;Q3_FI_Seed_9;458;;;;0.046652;OK
brock/brock200_2.clq;Q3_HC_Seed_9;957;;;;1.96416;OK
brock/brock200_2.clq;Q3_FI_STATS_SUMMARY;;458;1168;691.1;0.236081;OK
brock/brock200_2.clq;Q3_HC_STATS_SUMMARY;;786;1265;1056.6;7.56877;OK
brock/brock200_2.clq;Q3_Static_Poids;1259;;;;0.049986;OK
brock/brock200_2.clq;Q3_Static_Hybride;1093;;;;0.107587;OK
