Instance;Probleme;Algorithme;Score;Temps_ms;Statut
brock/brock200_1.clq;MCP;HC_Hybrid_Steepest;19;2.3757;OK
brock/brock200_1.clq;WMCP;HC_Hybrid_Weight_Steepest;2459;0.7935;OK
brock/brock200_2.clq;MCP;HC_Hybrid_Steepest;9;1.1586;OK
brock/brock200_2.clq;WMCP;HC_Hybrid_Weight_Steepest;1283;0.2881;OK
brock/brock200_3.clq;MCP;HC_Hybrid_Steepest;13;1.3578;OK
brock/brock200_3.clq;WMCP;HC_Hybrid_Weight_Steepest;1781;0.9749;OK
brock/brock200_4.clq;MCP;HC_Hybrid_Steepest;15;1.7301;OK
brock/brock200_4.clq;WMCP;HC_Hybrid_Weight_Steepest;1909;0.7332;OK
brock/brock400_1.clq;MCP;HC_Hybrid_Steepest;22;7.7849;OK
brock/brock400_1.clq;WMCP;HC_Hybrid_Weight_Steepest;2891;0.9686;OK
brock/brock400_2.clq;MCP;HC_Hybrid_Steepest;21;8.3036;OK
brock/brock400_2.clq;WMCP;HC_Hybrid_Weight_Steepest;2871;2.2229;OK
brock/brock400_3.clq;MCP;HC_Hybrid_Steepest;21;7.6166;OK
brock/brock400_3.clq;WMCP;HC_Hybrid_Weight_Steepest;3217;3.8598;OK
brock/brock400_4.clq;MCP;HC_Hybrid_Steepest;23;7.8349;OK
brock/brock400_4.clq;WMCP;HC_Hybrid_Weight_Steepest;2726;1.644;OK
brock/brock800_1.clq;MCP;HC_Hybrid_Steepest;17;20.545;OK
brock/brock800_1.clq;WMCP;HC_Hybrid_Weight_Steepest;2453;0.9542;OK
brock/brock800_2.clq;MCP;HC_Hybrid_Steepest;18;22.8604;OK
brock/brock800_2.clq;WMCP;HC_Hybrid_Weight_Steepest;2438;5.4405;OK
brock/brock800_3.clq;MCP;HC_Hybrid_Steepest;18;21.113;OK
brock/brock800_3.clq;WMCP;HC_Hybrid_Weight_Steepest;2529;1.2271;OK
brock/brock800_4.clq;MCP;HC_Hybrid_Steepest;18;21.1474;OK
brock/brock800_4.clq;WMCP;HC_Hybrid_Weight_Steepest;2537;3.8076;OK
C/C125.9.clq;MCP;HC_Hybrid_Steepest;31;2.5582;OK
C/C125.9.clq;WMCP;HC_Hybrid_Weight_Steepest;2386;1.7283;OK
